change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Fopenstack-ansible-os_ceilometer~master~I99a59269287905ec0cc7e31cf1500f0b5faa23b1,478001,https://review.opendev.org/478001,openstack-ansible-os_ceilometer,17:49.0,48:20.0,MERGED,Updated from global requirements,Updated from global requirements,1,3,2,2,1,0,7,32,2.508611111,['test-requirements.txt'],FALSE,[]
openstack%2Fopenstack-ansible-rabbitmq_server~master~Ifee01f962a1600ef8b18d5982870df628f157ab9,477538,https://review.opendev.org/477538,openstack-ansible-rabbitmq_server,45:28.0,44:32.0,MERGED,Updated from OpenStack Ansible Tests,Updated from OpenStack Ansible Tests,1,3,27,3,3,0,7,36,24.98444444,"['.gitignore', 'Vagrantfile', 'run_tests.sh']",FALSE,[]
openstack%2Fcinder~master~I70f6876ff36e63d572e587cd3cb00b70cf434ca4,449616,https://review.opendev.org/449616,cinder,07:46.0,38:20.0,MERGED,Remove deprecated 'host' option for cinder-volume,Remove deprecated 'host' option for cinder-volume,1,3,1,3,1,0,43,49,2281.509444,['cinder/cmd/volume.py'],FALSE,[]
openstack%2Fopenstack-helm~master~Idf0e746df8b91cbbf89373d1516108ce2163083c,470865,https://review.opendev.org/470865,openstack-helm,27:44.0,28:23.0,MERGED,Merge ovs 'ensure' logic into the caller,[RFC] Merge ovs 'ensure' logic into the caller.,16,10,32,56,4,15,84,47,535.0108333,"['neutron/templates/bin/_openvswitch-ensure-configured.sh.tpl', 'neutron/templates/bin/_openvswitch-vswitchd.sh.tpl', 'neutron/templates/configmap-bin.yaml', 'neutron/templates/daemonset-ovs-vswitchd.yaml']",FALSE,[]
openstack%2Fpuppet-glance~stable%2Fnewton~I441bb9a871d767d0cf71195d0726fec88079fe0f,477894,https://review.opendev.org/477894,puppet-glance,21:42.0,16:29.0,MERGED,Release 9.6.0 (newton),Release 9.6.0 (newton),1,3,3,3,2,0,7,22,2.913055556,"['metadata.json', 'releasenotes/source/conf.py']",FALSE,[]
openstack%2Fnetworking-bagpipe~master~Ib61d1e5561e46419cd88905c314cbfc2108f2b33,474623,https://review.opendev.org/474623,networking-bagpipe,04:57.0,14:15.0,MERGED,bagpipe-bgp: support for exabgp 4.0.1,bagpipe-bgp: support for exabgp 4.0.1,3,2,45,65,8,0,14,37,286.155,"['networking_bagpipe/bagpipe_bgp/engine/__init__.py', 'networking_bagpipe/bagpipe_bgp/engine/bgp_manager.py', 'networking_bagpipe/bagpipe_bgp/engine/exabgp_peer_worker.py', 'networking_bagpipe/bagpipe_bgp/engine/ipvpn.py', 'networking_bagpipe/bagpipe_bgp/engine/route_table_manager.py', 'networking_bagpipe/bagpipe_bgp/vpn/evpn/__init__.py', 'networking_bagpipe/bagpipe_bgp/vpn/ipvpn/__init__.py', 'networking_bagpipe/bagpipe_bgp/vpn/vpn_instance.py']",FALSE,[]
openstack%2Fopenstack-ansible-os_ironic~master~Ib7bdf44bc85e8a0bbcfebaae4db9cba365fc63cb,477335,https://review.opendev.org/477335,openstack-ansible-os_ironic,34:59.0,06:56.0,MERGED,Switch from oslosphinx to openstackdocstheme,Switch from oslosphinx to openstackdocstheme,2,4,3,3,1,0,13,44,34.5325,['releasenotes/source/conf.py'],FALSE,[]
openstack%2Fopenstack-ansible-os_ironic~master~Iaeac17ad218322125f583c727e1d34f5bcc1666f,478009,https://review.opendev.org/478009,openstack-ansible-os_ironic,18:09.0,06:50.0,MERGED,Updated from global requirements,Updated from global requirements,2,3,2,2,1,0,9,32,1.811388889,['test-requirements.txt'],FALSE,[]
openstack%2Fopenstack-ansible-os_ironic~master~Ia30a72bcd3d112d7dce7ebe4cdf5da659b983808,477726,https://review.opendev.org/477726,openstack-ansible-os_ironic,13:57.0,06:44.0,MERGED,Replace neutron module with os_network and os_subnet,DNM test,10,4,16,13,1,4,28,8,11.87972222,['tests/test-configure-ironic.yml'],FALSE,[]
openstack%2Ffreezer~master~I4208056ab454e07eb12ee9dd1c5d46b8beb854a1,477923,https://review.opendev.org/477923,freezer,09:28.0,01:42.0,MERGED,Updated from global requirements,Updated from global requirements,1,3,2,2,1,0,7,32,1.870555556,['test-requirements.txt'],FALSE,[]
