change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Fnova~master~I90554be09931a3bf0b8ef34b893fbd5078cbabe3,682886,https://review.opendev.org/682886,nova,48:28.0,11:17.0,MERGED,Add missing parameter,Add missing parameter.1,2,21,3,1,1.1,3.1,66,21.1,1030.380278,['nova/virt/libvirt/volume/remotefs.py'],FALSE,[]
openstack%2Fvitrage-dashboard~master~I6fd838618048f7cd373e477d176e9ad2ee8e3f09,687528,https://review.opendev.org/687528,vitrage-dashboard,35:52.0,10:30.0,MERGED,Use Horizon project template for django jobs,Use Horizon project template for django jobs,3,8,6,2,2,1,24,44,528.5772222,"['.zuul.yaml', 'tox.ini']",FALSE,[]
openstack%2Fkolla-ansible~master~Icf0399d21b3fde8d530d73e6e7ee4a57665da276,691481,https://review.opendev.org/691481,kolla-ansible,12:43.0,54:15.0,MERGED,Fail kolla-ansible early when not available in the PYTHONPATH,Fail kolla-ansible early when not available in the PYTHONPATH,1,6,5,0,1,3,14,61,117.6922222,['tools/kolla-ansible'],FALSE,[]
openstack%2Fironic-python-agent~master~Ib955e93c19182dd6f16e00c8e8e92523d7b2e22b,692141,https://review.opendev.org/692141,ironic-python-agent,39:13.0,28:00.0,MERGED,Switch jobs to py3,Switch jobs to py3,1,4,2,6,2,0,15,18,20.81305556,"['zuul.d/ironic-python-agent-jobs.yaml', 'zuul.d/project.yaml']",FALSE,[]
openstack%2Fmonasca-specs~master~I15d90a71878eaebed02fc95f7ba052ccb201635b,690987,https://review.opendev.org/690987,monasca-specs,44:26.0,09:06.0,MERGED,Add Ussuri release cycle priorities,Add Ussuri release cycle priorities,3,6,139,0,1,1,17,35,163.4111111,['priorities/ussuri-priorities.rst'],FALSE,[]
openstack%2Fpuppet-tripleo~stable%2Fstein~I2d2cb42d87371f5807a4527eef22425416d4a774,692106,https://review.opendev.org/692106,puppet-tripleo,09:29.0,45:20.0,MERGED,Fix upper case checks for SRIOV interface,Fix upper case checks for SRIOV interface,1,4,10,1,3,0,16,41,22.5975,"['lib/puppet/type/sriov_vf_config.rb', 'releasenotes/notes/Fixes-SRIOV-upper-case-name-checks-306011421f53131d.yaml', 'spec/unit/type/sriov_vf_config_spec.rb']",FALSE,[]
openstack%2Fnova~master~I56d3cb17260dad8b88f03c0a7b9688efb3258d6f,682486,https://review.opendev.org/682486,nova,05:42.0,44:32.0,MERGED,Only allow one scheduler service in tests,Only allow one non-compute service in tests,7,15,21,0,1,6,59,43,1068.647222,['nova/test.py'],FALSE,[]
openstack%2Fbifrost~master~Ie8fd20a3fe98d93776296ec71c40b452ca482288,692175,https://review.opendev.org/692175,bifrost,47:39.0,20:13.0,MERGED,Use the correct git branch of IPA when building deploy ramdisks,Use the correct git branch of IPA when building deploy ramdisks,3,4,32,1,6,0,15,63,17.54277778,"['playbooks/roles/bifrost-create-dib-image/defaults/main.yml', 'playbooks/roles/bifrost-create-dib-image/tasks/main.yml', 'playbooks/roles/bifrost-ironic-install/defaults/main.yml', 'playbooks/roles/bifrost-prep-for-install/defaults/main.yml', 'playbooks/test-bifrost.yaml', 'releasenotes/notes/ipa-branch-6d1d30876b584cbf.yaml']",FALSE,['playbooks/roles/bifrost-create-dib-image/tasks/main.yml']
openstack%2Fopenstack-ansible~stable%2Fstein~Id5c5398c4720ebfa3066b2172f9a8924b023376d,690446,https://review.opendev.org/690446,openstack-ansible,25:30.0,43:29.0,MERGED,Switch to the opensuse-15 nodeset,Switch to the opensuse-15 nodeset,1,4,23,23,2,0,15,33,201.2997222,"['zuul.d/jobs.yaml', 'zuul.d/project-templates.yaml']",FALSE,[]
openstack%2Ftripleo-heat-templates~master~I72981f276064c1edbc2228f51a1ddeec2e3afce5,683728,https://review.opendev.org/683728,tripleo-heat-templates,44:10.0,27:48.0,MERGED,Added the connection_logging parameter for Octavia,Added the connection_logging parameter for Octavia,1,7,8,0,2,3,14,50,970.7272222,"['deployment/octavia/octavia-base.yaml', 'releasenotes/notes/add-connection-logging-parameter-e51f59175c8da204.yaml']",FALSE,[]
