change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Ftripleo-heat-templates~master~I72a79d8200adee8258033e8da370051bbfd1986b,257578,https://review.opendev.org/257578,tripleo-heat-templates,12:54.0,00:33.0,MERGED,Fix typo in HostsEntry output description,Fix typo in HostsEntry output description.1,1,4,2,2.1,2.2,0,9,41,84.79416667,"['overcloud.yaml', 'puppet/all-nodes-config.yaml']",FALSE,[]
openstack%2Finstack-undercloud~master~I7165d14f23cf1be719c62db7742a00695d9f6996,221416,https://review.opendev.org/221416,instack-undercloud,12:24.0,52:18.0,MERGED,Fix Horizon undercloud UI login,Fix Horizon undercloud UI login,2,7,1,0,2,2,27,31,2417.665,"['elements/puppet-stack-config/puppet-stack-config.yaml.template', 'elements/undercloud-post-config/os-refresh-config/post-configure.d/98-undercloud-setup']",FALSE,[]
openstack%2Ftripleo-heat-templates~master~Id3d4f12235501ae77200430a2dc022f378dce336,222497,https://review.opendev.org/222497,tripleo-heat-templates,12:30.0,38:16.0,MERGED,Allow for usage of pre-allocated IPs for the controller nodes,Distribute nodes index to nodes,32,9,379,19,11,13,137,31,2355.429444,"['ceph-storage.yaml', 'cinder-storage.yaml', 'compute.yaml', 'controller.yaml', 'overcloud-without-mergepy.yaml', 'puppet/ceph-storage-puppet.yaml', 'puppet/cinder-storage-puppet.yaml', 'puppet/compute-puppet.yaml', 'puppet/controller-puppet.yaml', 'puppet/swift-storage-puppet.yaml', 'swift-storage.yaml']",FALSE,[]
openstack%2Fnova~master~I817b8d0f6c6fa71dc56b031c717bd7a63193f847,253821,https://review.opendev.org/253821,nova,12:52.0,34:37.0,MERGED,"Revert ""Enable options for oslo.reports""","Revert ""Enable options for oslo.reports""",1,7,60,12,18,0,25,40,306.3625,"['etc/nova/nova-config-generator.conf', 'nova/cmd/api.py', 'nova/cmd/api_ec2.py', 'nova/cmd/api_metadata.py', 'nova/cmd/api_os_compute.py', 'nova/cmd/baseproxy.py', 'nova/cmd/cells.py', 'nova/cmd/cert.py', 'nova/cmd/compute.py', 'nova/cmd/conductor.py', 'nova/cmd/console.py', 'nova/cmd/consoleauth.py', 'nova/cmd/network.py', 'nova/cmd/objectstore.py', 'nova/cmd/scheduler.py', 'nova/cmd/xvpvncproxy.py', 'nova/config.py', 'releasenotes/notes/new-oslo-reports-option-619c3dbf3ae320fb.yaml']",FALSE,[]
openstack%2Fkolla~master~Iba5b4b2c2bd3ca0b97a3c29655e87c9701a84350,259277,https://review.opendev.org/259277,kolla,47:33.0,31:52.0,MERGED,Remove wrong comment description,Remove wrong comment description,1,3,1,3,1,0,7,32,5.738611111,['docker/base/set_configs.py'],FALSE,[]
openstack%2Fheat~stable%2Fkilo~Ifa96a1cf94ced833afaf4b7ca306a953987548b6,259023,https://review.opendev.org/259023,heat,58:36.0,05:12.0,MERGED,Fix property comparison in neutron resources,Fix property comparison in neutron resources,2,7,3,8,1,0,10,44,20.11,['heat/engine/resources/openstack/neutron/neutron.py'],FALSE,[]
openstack%2Ftempest~master~Ic525e341712149699644ba39cafa5f91a700737f,251310,https://review.opendev.org/251310,tempest,33:30.0,05:00.0,MERGED,Make create_image use **kwargs,Make create/update_image use **kwargs,14,10,21,20,3,4,77,37,430.525,"['tempest/api/image/v2/test_images.py', 'tempest/api/image/v2/test_images_negative.py', 'tempest/services/image/v2/json/image_client.py']",FALSE,[]
openstack%2Fmagnum-ui~master~I61b1e85e89fd0e0ff84f155019df5f058e1c58a6,258811,https://review.opendev.org/258811,magnum-ui,01:21.0,04:17.0,MERGED,Imported Translations from Zanata,Imported Translations from Zanata,1,4,4,3,1,0,8,33,28.04888889,['magnum_ui/locale/ja/LC_MESSAGES/djangojs.po'],FALSE,[]
openstack%2Fmanila~master~I284e53af777840d844ee9a32ac83355bb22595b9,245383,https://review.opendev.org/245383,manila,30:02.0,50:22.0,MERGED,"HPE3PAR support for access-level (ro,rw)",W-I-P access-level support for 3PAR,15,16,976,138,5,15,185,35,824.3388889,"['manila/share/drivers/hp/hp_3par_driver.py', 'manila/share/drivers/hp/hp_3par_mediator.py', 'manila/tests/share/drivers/hp/test_hp_3par_constants.py', 'manila/tests/share/drivers/hp/test_hp_3par_driver.py', 'manila/tests/share/drivers/hp/test_hp_3par_mediator.py']",FALSE,[]
openstack%2Fpython-tripleoclient~master~Ie2428093b270ab8bc19fcb2130bb16a41ca0ce09,254613,https://review.opendev.org/254613,python-tripleoclient,40:28.0,45:32.0,MERGED,Enable TLS endpoints through os-cloud-config,Enable TLS endpoints through os-cloud-config,3,9,27,11,1,10,32,44,241.0844444,['tripleoclient/v1/overcloud_deploy.py'],FALSE,[]
