change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Fcookbook-openstack-ops-database~stable%2Fmitaka~Id796f5e2027b75f45e30776c0bd5cdfafa737511,361593,https://review.opendev.org/361593,cookbook-openstack-ops-database,47:03.0,16:43.0,MERGED,Pull in Rakefile from stable/mitaka branch of common cookbook,Pull in Rakefile from stable/mitaka branch of common cookbook.1,1,2,1.1,1.2,1.3,0,8,61,4.494444444,['Rakefile'],FALSE,[]
openstack%2Fnetworking-ovn~master~If9596ab6904441af2f5abbe13a039e67649bab42,352885,https://review.opendev.org/352885,networking-ovn,02:36.0,49:09.0,MERGED,Add unit tests for DHCP options ovsdb commands,Add unit tests for DHCP options ovsdb commands,5,4,55,6,2,1,25,46,433.7758333,"['networking_ovn/ovsdb/commands.py', 'networking_ovn/tests/unit/ovsdb/test_commands.py']",FALSE,[]
openstack%2Fnetworking-ovn~master~I9b787a619ae93a18d30ca00203cb6883673dbd53,361388,https://review.opendev.org/361388,networking-ovn,11:26.0,49:03.0,MERGED,Remove unused devstackgatenativel3rc file,Remove unused devstackgatenativel3rc file,1,3,0,90,1,0,9,41,21.62694444,['devstack/devstackgatenativel3rc'],FALSE,[]
openstack%2Fshade~master~If603edf5f9207332dc1370bdde3eb68a7c7e7511,360257,https://review.opendev.org/360257,shade,53:47.0,46:20.0,MERGED,Delete objname in image_delete,Delete objname in image_delete,1,2,1,1,1,0,11,30,56.87583333,['shade/openstackcloud.py'],FALSE,[]
openstack%2Fpython-tackerclient~master~I69b835dce64d662d1af6a14556fb8281e3b04d63,361521,https://review.opendev.org/361521,python-tackerclient,19:34.0,29:16.0,MERGED,Modify MyURLComparator to handle deep match on URL,Modify MyURLComparator to handle deep match on URL,1,3,17,6,1,0,7,50,15.16166667,['tackerclient/tests/unit/test_cli10.py'],FALSE,[]
openstack%2Fnetworking-ovn~master~Ie3188dce5e52586489617a9ca855bd052dc86044,351193,https://review.opendev.org/351193,networking-ovn,41:43.0,26:42.0,MERGED,Fix UT based on improved ML2 driver error handling,Fix UT based on improved ML2 driver error handling,3,5,6,22,2,0,17,50,552.7497222,"['networking_ovn/tests/unit/test_ovn_parent_tag.py', 'networking_ovn/tests/unit/test_ovn_vtep.py']",FALSE,[]
openstack%2Fpython-tackerclient~master~I7ac08fb5686597926ec3b3c62d8221abf2b0f066,361538,https://review.opendev.org/361538,python-tackerclient,34:01.0,18:08.0,MERGED,Moving test files to vm directory,Moving test files to vm directory,2,3,11,9,4,0,9,33,12.73527778,"['tackerclient/tests/unit/nfvo/__init__.py', 'tackerclient/tests/unit/vm/test_cli10_v10_event.py', 'tackerclient/tests/unit/vm/test_vim_utils.py', 'test-requirements.txt']",FALSE,[]
openstack%2Fnova~master~I68a0d5e3b3ea025629cbaa220c5a6043d69b0bc9,346278,https://review.opendev.org/346278,nova,42:32.0,58:01.0,MERGED,Abort on HostNotCompatibleWithFixedIpsClient,Abort on HostNotCompatibleWithFixedIpsClient,6,17,34,0,1,12,91,44,854.2580556,['nova/network/neutronv2/api.py'],FALSE,[]
openstack%2Fdesignate-tempest-plugin~master~I7bc21a055866c211a151008f60f3101dc8244ac9,360414,https://review.opendev.org/360414,designate-tempest-plugin,37:00.0,39:25.0,MERGED,Add tests for various RRSet types,Add tests for various RRSet types,2,3,23,6,2,0,17,33,51.04027778,"['designate_tempest_plugin/tests/api/v2/recordset_data.json', 'designate_tempest_plugin/tests/api/v2/test_recordset.py']",FALSE,[]
openstack%2Fmasakari~master~I213aa07e19f1a35a7b758711aa15677000c7f0f6,359913,https://review.opendev.org/359913,masakari,19:15.0,00:36.0,MERGED,Add testing for WSGI Framework,Add testing for WSGI Framework,2,3,3732,2,33,0,9,30,70.68916667,"['masakari/api/openstack/ha/views/versions.py', 'masakari/conf/__init__.py', 'masakari/conf/base.py', 'masakari/exception.py', 'masakari/test.py', 'masakari/tests/unit/api/__init__.py', 'masakari/tests/unit/api/openstack/__init__.py', 'masakari/tests/unit/api/openstack/fakes.py', 'masakari/tests/unit/api/openstack/ha/__init__.py', 'masakari/tests/unit/api/openstack/ha/test_versions.py', 'masakari/tests/unit/api/openstack/test_common.py', 'masakari/tests/unit/api/openstack/test_extensions.py', 'masakari/tests/unit/api/openstack/test_wsgi.py', 'masakari/tests/unit/api/test_api_version_request.py', 'masakari/tests/unit/api/test_auth.py', 'masakari/tests/unit/cmd/test_masakari_api.py', 'masakari/tests/unit/conf_fixture.py', 'masakari/tests/unit/fake_notifier.py', 'masakari/tests/unit/matchers.py', 'masakari/tests/unit/monkey_patch_example/__init__.py', 'masakari/tests/unit/monkey_patch_example/example_a.py', 'masakari/tests/unit/monkey_patch_example/example_b.py', 'masakari/tests/unit/test_conf.py', 'masakari/tests/unit/test_context.py', 'masakari/tests/unit/test_exception.py', 'masakari/tests/unit/test_policy.py', 'masakari/tests/unit/test_safeutils.py', 'masakari/tests/unit/test_utils.py', 'masakari/tests/unit/test_wsgi.py', 'masakari/tests/unit/utils.py', 'masakari/tests/uuidsentinel.py', 'masakari/utils.py', 'test-requirements.txt']",FALSE,[]
