change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Ftripleo-heat-templates~master~I253f6cbc5ccdbf8c46cc537ff9600f201aae540a,241570,https://review.opendev.org/241570,tripleo-heat-templates,09:21.0,29:45.0,MERGED,Do not enforce start timeout to 90s for neutron-server,Do not enforce start timeout to 90s for neutron-server.1,1,5,0,1.1,1.2,2,11,54,10.34,['puppet/manifests/overcloud_controller_pacemaker.pp'],TRUE,[]
openstack%2Fpuppet-keystone~master~I4deb27dc6f71fb7a7ec6a9c72bd0e1412c2e9a30,226919,https://review.opendev.org/226919,puppet-keystone,20:51.0,28:00.0,MERGED,"Add composite namevar for tenant, user, user_role.",Add semantic title for keystone_tenant.,47,7,1707,835,4,122,223,39,1011.119167,"['lib/puppet/type/keystone_tenant.rb', 'spec/acceptance/basic_keystone_spec.rb', 'spec/unit/provider/keystone_tenant/openstack_spec.rb', 'spec/unit/type/keystone_tenant_spec.rb']",FALSE,[]
openstack%2Fdesignate~master~Ia1ce5aa63cebf5fd9ab14e6e0247b204b437134a,230563,https://review.opendev.org/230563,designate,15:49.0,21:37.0,MERGED,Updated from global requirements,Updated from global requirements,22,6,10,10,1,0,73,32,796.0966667,['test-requirements.txt'],FALSE,[]
openstack%2Fpuppet-keystone~master~I8c21b21803805919ae7981ffef74c5e205afe1c1,178456,https://review.opendev.org/178456,puppet-keystone,12:29.0,20:06.0,MERGED,keystone_endpoint provider for Keystone v3 api,support for keystone v3 api - the endpoint resource,31,8,91,86,1,54,155,51,4557.126944,['lib/puppet/provider/keystone_endpoint/openstack.rb'],FALSE,[]
openstack%2Fdiskimage-builder~master~I5539d2afba3fae30d1ddb49dcbf077113d38bbf7,226249,https://review.opendev.org/226249,diskimage-builder,59:15.0,07:27.0,MERGED,Add support for Xen PV disks,Add support for Xen PV disks,3,5,2,2,1,0,22,28,1042.136667,['elements/ramdisk-base/extra-data.d/scripts/d/init-func'],FALSE,[]
openstack%2Fpuppet-aodh~master~Ib4a65547fee27f1d7dedf0c508ef544a5347b2e6,237709,https://review.opendev.org/237709,puppet-aodh,45:41.0,04:06.0,MERGED,Implement Listener service,Implement Listener service,14,6,148,0,4,5,39,26,363.3069444,"['examples/aodh.pp', 'manifests/listener.pp', 'spec/acceptance/aodh_wsgi_apache_spec.rb', 'spec/classes/aodh_listener_spec.rb']",TRUE,[]
openstack%2Fopenstack-ansible~liberty~I656aeca46611ce2c0ca3d9767de9714dedb9ba6d,240913,https://review.opendev.org/240913,openstack-ansible,16:10.0,02:20.0,MERGED,Updated ansible version,Updated ansible version,1,7,1,1,1,0,16,23,52.76944444,['scripts/bootstrap-ansible.sh'],FALSE,[]
openstack%2Ftripleo-image-elements~master~I0fe4fde44cf1b9eb1aaa198e331721e022f8f7cb,206502,https://review.opendev.org/206502,tripleo-image-elements,46:47.0,45:28.0,MERGED,Load the validation-scripts as role extra data for tuskar init,Load the validation-scripts as role extra data for tuskar init,1,7,3,1,1,0,11,62,2384.978056,['elements/tuskar/os-refresh-config/configure.d/90-tuskar-db-sync'],FALSE,[]
openstack%2Fopenstack-health~master~I0ad63356e2bf16ff2794333216a2c0b4f5b16089,241749,https://review.opendev.org/241749,openstack-health,25:32.0,43:26.0,MERGED,Fix missing images,Fix missing images,1,8,1,1,1,0,6,18,0.298333333,['gulp/tasks/production.js'],FALSE,[]
openstack%2Finstack-undercloud~master~Ief7fc3dbbd8b8c33ea3ec7bd127231698af27a7f,223126,https://review.opendev.org/223126,instack-undercloud,33:57.0,39:55.0,MERGED,Correct ironic auth settings,Correct ironic auth settings,4,8,3,1,1,0,49,28,1230.099444,['elements/puppet-stack-config/puppet-stack-config.yaml.template'],FALSE,[]
