change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Fpuppet-neutron~stable%2Fmitaka~I8e6acd4d594bcba63b0a5253d7c91fb55da244c6,303933,https://review.opendev.org/303933,puppet-neutron,33:21.0,00:51.0,MERGED,Add dnsmasq_dns_servers option support,Add dnsmasq_dns_servers option support.1,3,6,22,0,3.1,0.1,46,38,251.4583333,"['manifests/agents/dhcp.pp', 'releasenotes/notes/add_dnsmasq_dns_servers-2dd26f5c9383f836.yaml', 'spec/classes/neutron_agents_dhcp_spec.rb']",TRUE,[]
openstack%2Fnetworking-generic-switch~master~I85c2c72a3eb41a81cfc0d4299f0c1b74a6f4517b,307661,https://review.opendev.org/307661,networking-generic-switch,13:16.0,52:51.0,MERGED,Add Huawei devices support,Add Huawei devices support,4,6,111,1,4,2,25,26,57.65972222,"['README.rst', 'networking_generic_switch/devices/netmiko_devices/huawei.py', 'networking_generic_switch/tests/unit/netmiko/test_huawei.py', 'setup.cfg']",FALSE,[]
openstack%2Fkeystone~master~I9fe9365dd22fad88a778486b31b45c82af62fc8e,307589,https://review.opendev.org/307589,keystone,54:32.0,51:23.0,MERGED,Imported Translations from Zanata,Imported Translations from Zanata,2,4,276,3131,42,0,11,33,59.9475,"['keystone/locale/de/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/de/LC_MESSAGES/keystone.po', 'keystone/locale/el/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/en_AU/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/es/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/es/LC_MESSAGES/keystone.po', 'keystone/locale/fr/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/fr/LC_MESSAGES/keystone.po', 'keystone/locale/hu/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/it/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/it/LC_MESSAGES/keystone.po', 'keystone/locale/ja/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/ja/LC_MESSAGES/keystone.po', 'keystone/locale/keystone-log-critical.pot', 'keystone/locale/keystone-log-error.pot', 'keystone/locale/keystone-log-info.pot', 'keystone/locale/keystone-log-warning.pot', 'keystone/locale/keystone.pot', 'keystone/locale/ko_KR/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/ko_KR/LC_MESSAGES/keystone-log-error.po', 'keystone/locale/ko_KR/LC_MESSAGES/keystone-log-info.po', 'keystone/locale/ko_KR/LC_MESSAGES/keystone-log-warning.po', 'keystone/locale/ko_KR/LC_MESSAGES/keystone.po', 'keystone/locale/pl_PL/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/pt_BR/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/pt_BR/LC_MESSAGES/keystone.po', 'keystone/locale/ru/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/ru/LC_MESSAGES/keystone.po', 'keystone/locale/tr_TR/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/tr_TR/LC_MESSAGES/keystone-log-error.po', 'keystone/locale/tr_TR/LC_MESSAGES/keystone-log-warning.po', 'keystone/locale/tr_TR/LC_MESSAGES/keystone.po', 'keystone/locale/zh_CN/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/zh_CN/LC_MESSAGES/keystone-log-error.po', 'keystone/locale/zh_CN/LC_MESSAGES/keystone.po', 'keystone/locale/zh_TW/LC_MESSAGES/keystone-log-critical.po', 'keystone/locale/zh_TW/LC_MESSAGES/keystone.po', 'keystone_tempest_plugin/locale/keystone_tempest_plugin-log-critical.pot', 'keystone_tempest_plugin/locale/keystone_tempest_plugin-log-error.pot', 'keystone_tempest_plugin/locale/keystone_tempest_plugin-log-info.pot', 'keystone_tempest_plugin/locale/keystone_tempest_plugin-log-warning.pot', 'keystone_tempest_plugin/locale/keystone_tempest_plugin.pot']",FALSE,[]
openstack%2Fdevstack-gate~master~I92f34d064c76da05a0ef7b9d458673543da3f40e,292175,https://review.opendev.org/292175,devstack-gate,22:20.0,50:44.0,MERGED,Fail the test if the pre test hook fails,Fail the test if the pre test hook fails,3,6,12,4,1,5,19,40,931.4733333,['devstack-vm-gate-wrap.sh'],FALSE,[]
openstack%2Fnova~master~I995361157f185a6e03c63e1db858035eb1a31b37,280415,https://review.opendev.org/280415,nova,32:34.0,44:49.0,MERGED,Improve the help text for the network options (1),Improve the help text for the network options (1),6,19,125,11,1,8,61,49,1581.204167,['nova/conf/network.py'],FALSE,[]
openstack%2Fdesignate~master~Iff08cc5bf77f64824165c72612f0783cb85be211,305779,https://review.opendev.org/305779,designate,51:10.0,42:49.0,MERGED,Remove tests moved to tempest,Remove tests moved to tempest,3,4,0,79,1,0,14,29,174.8608333,['functionaltests/api/v2/test_zone.py'],FALSE,[]
openstack%2Fpython-keystoneclient~master~I138ebd46a8be195177361a9c3306bb70423b639d,294597,https://review.opendev.org/294597,python-keystoneclient,50:12.0,32:07.0,MERGED,Removing bandit.yaml in favor of defaults,Removing bandit.yaml in favor of defaults,7,7,112,195,14,52,27,41,820.6986111,"['bandit.yaml', 'keystoneclient/_discover.py', 'keystoneclient/access.py', 'keystoneclient/adapter.py', 'keystoneclient/base.py', 'keystoneclient/common/cms.py', 'keystoneclient/contrib/auth/v3/saml2.py', 'keystoneclient/contrib/ec2/utils.py', 'keystoneclient/contrib/revoke/model.py', 'keystoneclient/httpclient.py', 'keystoneclient/service_catalog.py', 'keystoneclient/session.py', 'keystoneclient/utils.py', 'tox.ini']",FALSE,['bandit.yaml']
openstack%2Fpuppet-trove~master~Ifb48d77a1940c7b04787b0a28efd08e1f04854b7,307465,https://review.opendev.org/307465,puppet-trove,21:24.0,23:51.0,MERGED,Remove nova_* options from trove-guestagent.conf.erb,Remove nova_* options from trove-guestagent.conf.erb for security risk. Closes-Bug: #1570829,2,4,0,3,1,0,15,92,70.04083333,['templates/trove-guestagent.conf.erb'],FALSE,[]
openstack%2Fpuppet-swift~master~I2d81db0a29249101116c1899565f024aaac69000,256054,https://review.opendev.org/256054,puppet-swift,47:10.0,14:12.0,MERGED,swift-ring-builder 2.2.2+ output parse fix,Skip info line from swift-ring-builder,3,6,61,0,1,0,15,38,3191.450556,['lib/puppet/provider/swift_ring_builder.rb'],FALSE,[]
openstack%2Frequirements~master~I837b8e2af962dc6a5ec9e1b087c9f36e7862df3f,308680,https://review.opendev.org/308680,requirements,04:10.0,12:15.0,MERGED,Bump oslo.log and oslo.il8n for april 18th releases,Bump oslo.log and oslo.il8n for april 18th releases,1,2,2,2,1,0,8,51,19.13472222,['upper-constraints.txt'],FALSE,[]
openstack%2Frequirements~master~I1851d456e6d514a3f8c0e4ceaff127d7d2120f54,308772,https://review.opendev.org/308772,requirements,27:04.0,08:45.0,MERGED,Updated from generate-constraints,Updated from generate-constraints,1,2,6,6,1,0,6,33,11.69472222,['upper-constraints.txt'],FALSE,[]
openstack%2Fpython-barbicanclient~master~I2a188c8159691916880d43b334202203b496a8d4,219135,https://review.opendev.org/219135,python-barbicanclient,28:44.0,08:12.0,MERGED,Make Client test documentation similar to Barbican,WIP: Make Client test documentation similar to Barbican,4,14,175,64,2,4,28,55,5604.657778,"['doc/source/functional_tests.rst', 'doc/source/testing.rst']",FALSE,[]
openstack%2Ftempest~master~Ic3857585a74d4e07a9e526e1d96e871fb43154a0,305510,https://review.opendev.org/305510,tempest,16:15.0,06:34.0,MERGED,Do not create network resources in verify-config,Do not create network resources in verify-config,1,4,10,1,1,0,11,48,187.8386111,['tempest/cmd/verify_tempest_config.py'],FALSE,[]
openstack%2Fnova-specs~master~If447521fdd54a5e999a36524b0adb01dd46496fa,307476,https://review.opendev.org/307476,nova-specs,48:39.0,06:01.0,MERGED,Stop encrypted disk on instance suspend/power off,Add ephemeral storage encryption spec for Newton,2,4,133,0,1,6,12,48,69.28944444,['specs/newton/approved/stop-dmcrypt-on-suspend.rst'],FALSE,[]
openstack%2Fpython-designateclient~master~Ie1e65c2d0cc8ad1b8b258e03114e19a943d1d19c,308050,https://review.opendev.org/308050,python-designateclient,47:06.0,59:09.0,MERGED,Improve python-designateclient docs,Improve python-designateclient docs * Improve index page to explain the difference between v1 and v2   CLI support. * Add a v2 examples page * Add all supported commands to v2 shell page * Add a tox task to build the docs * Fix a bug building the docs with an invalid html_static_path   config,6,4,395,43,8,1,16,293,44.20083333,"['doc/source/bindings.rst', 'doc/source/conf.py', 'doc/source/index.rst', 'doc/source/shell-examples.rst', 'doc/source/shell-v2-examples.rst', 'doc/source/shell-v2.rst', 'doc/source/shell.rst', 'tox.ini']",FALSE,[]
openstack%2Fpuppet-heat~master~I822905723a07f5835202b4475944bffd206d8b86,308487,https://review.opendev.org/308487,puppet-heat,17:57.0,57:56.0,MERGED,Cleanup rabbit ssl checks,Cleanup rabbit ssl checks,1,4,0,29,2,0,20,25,24.66638889,"['manifests/init.pp', 'spec/classes/heat_init_spec.rb']",TRUE,[]
openstack%2Fdesignate~master~I18b946269c3452d20205fbba392d7216cf4c92ee,299379,https://review.opendev.org/299379,designate,06:53.0,51:07.0,MERGED,Use upper-constraints.txt for tox tests,Use upper-constraints.txt for tox tests,4,4,13,1,1,0,14,39,532.7372222,['tox.ini'],FALSE,[]
openstack%2Fdesignate~master~I58d8e4f05988731ba072047cdf0012205fc22197,307004,https://review.opendev.org/307004,designate,14:49.0,49:33.0,MERGED,Add missing response codes in V2 API's doc,Add missing response codes in V2 API's doc,1,3,4,2,1,0,7,42,80.57888889,['doc/source/rest/v2/recordsets.rst'],FALSE,[]
openstack%2Fceilometer~master~I45037ce829340e9128cadd23c65ad3f069312c89,308970,https://review.opendev.org/308970,ceilometer,01:40.0,48:23.0,MERGED,Remove direct dependency on babel,Remove direct dependency on babel,1,3,0,1,1,0,8,33,4.778611111,['test-requirements.txt'],FALSE,[]
openstack%2Fmonasca-agent~master~I4b6bc4f9d38e6b4f4fe5c632f885b84aaff7fd08,295612,https://review.opendev.org/295612,monasca-agent,43:55.0,45:52.0,MERGED,Refactor agent,Refactor agent,5,10,47,2495,14,0,29,14,734.0325,"['monasca_agent/collector/checks/check.py', 'monasca_agent/collector/checks/collector.py', 'monasca_agent/collector/checks/system/__init__.py', 'monasca_agent/collector/checks/system/win32.py', 'monasca_agent/collector/checks_d/win32_event_log.py', 'monasca_agent/common/check_status.py', 'monasca_agent/forwarder/daemon.py', 'monasca_agent/statsd/daemon.py', 'monasca_agent/statsd/reporter.py', 'monasca_agent/win32/__init__.py', 'monasca_agent/win32/agent.py', 'monasca_agent/win32/common.py', 'monasca_agent/win32/gui.py', 'monasca_agent/win32/shell.py']",FALSE,[]
openstack%2Fopenstack-doc-tools~master~Ib88242d02511c7d7f94c2dbc6ddc8d855ce5541a,306668,https://review.opendev.org/306668,openstack-doc-tools,45:18.0,43:22.0,MERGED,[cli-ref] Remove keystone CLI support,[cli-ref] Remove keystone CLI support,2,5,1,11,2,2,14,37,136.9677778,"['bin/doc-tools-update-cli-reference', 'os_doc_tools/commands.py']",FALSE,[]
openstack%2Fopenstack-ansible~stable%2Fmitaka~I11a6af82972c71689c066619140cfc31c8ee695d,308986,https://review.opendev.org/308986,openstack-ansible,44:27.0,42:07.0,MERGED,Add convenience links for install workflow doc,Add convenience links for install workflow doc,1,4,7,0,1,0,8,46,3.961111111,['doc/source/install-guide/overview-workflow.rst'],FALSE,[]
openstack%2Ftripleo-heat-templates~master~I0cab3cdb2189dab3844f2eda52b8697d05ad3447,309042,https://review.opendev.org/309042,tripleo-heat-templates,46:10.0,34:09.0,MERGED,The Sahara SSL endpoint was announced on the wrong port,The Sahara SSL endpoint was announced on the wrong port,1,2,1,1,1,0,8,55,2.799722222,['environments/enable-tls.yaml'],FALSE,[]
openstack%2Fec2-api~master~Ie426484642bfe9b878f7257d9b9c3986e680b804,308889,https://review.opendev.org/308889,ec2-api,33:23.0,21:05.0,MERGED,update from global requirements and up version for master,update from global requirements and up version for master,2,3,75,40,4,1,9,57,6.795,"['requirements.txt', 'setup.cfg', 'test-requirements.txt', 'tools/update-from-global-requirements.sh']",FALSE,[]
openstack%2Fproject-config~master~Ia190fdbddf9029149b54e686aa0e82fe040b6733,309044,https://review.opendev.org/309044,project-config,52:39.0,18:11.0,MERGED,Block stable/feature branch for new project imports,"Block ""stable"" branches for new project imports",4,4,10,0,1,3,14,47,2.425555556,['tools/check_valid_gerrit_projects.py'],FALSE,[]
