change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Fheat~master~I923476edaa09ae8ccaa9cd2392ff5e3cf5a0cc87,693520,https://review.opendev.org/693520,heat,52:24.0,21:32.0,ABANDONED,WIP - Remove six and python2.7 compatibility,WIP - Remove six and python2.7 retro compatibility,19,4,1450,1817,25,16,41,50,431.4855556,"['heat/cmd/all.py', 'heat/cmd/api.py', 'heat/cmd/api_cfn.py', 'heat/cmd/manage.py', 'heat/db/sqlalchemy/api.py', 'heat/db/sqlalchemy/filters.py', 'heat/engine/check_resource.py', 'heat/engine/function.py', 'heat/engine/node_data.py', 'heat/engine/properties.py', 'heat/engine/resources/openstack/heat/autoscaling_group.py', 'heat/engine/resources/openstack/heat/instance_group.py', 'heat/engine/resources/openstack/heat/none_resource.py', 'heat/engine/resources/openstack/heat/scaling_policy.py', 'heat/engine/resources/openstack/heat/software_deployment.py', 'heat/engine/resources/openstack/heat/swiftsignal.py', 'heat/engine/resources/openstack/heat/test_resource.py', 'heat/engine/resources/openstack/manila/share.py', 'heat/engine/resources/openstack/nova/floatingip.py', 'heat/engine/resources/openstack/nova/keypair.py', 'heat/engine/resources/openstack/nova/server.py', 'heat/engine/resources/openstack/trove/instance.py', 'heat/engine/resources/signal_responder.py', 'heat/engine/resources/stack_resource.py', 'heat/engine/service_software_config.py']",FALSE,[]
openstack%2Fpython-senlinclient~master~Ic77626c7b2a5d1981052bb6ac970a389f63d28bd,696036,https://review.opendev.org/696036,python-senlinclient,00:19.0,01:56.0,ABANDONED,Change default API version to 1.14,Change default API version to 1.14,1,0,10,6,4,0,4,34,0.026944444,"['senlinclient/plugin.py', 'senlinclient/tests/functional/test_actions.py', 'senlinclient/tests/unit/v1/test_action.py', 'senlinclient/v1/action.py']",FALSE,[]
openstack%2Ftripleo-heat-templates~stable%2Ftrain~I216d7899c569419fdee7e30cc11af1d68d0f7fa3,696024,https://review.opendev.org/696024,tripleo-heat-templates,01:28.0,41:53.0,ABANDONED,Drop the SELinux flags for openvswitch /var/run directory,Drop the SELinux flags for openvswitch /var/run directory,1,1,9,10,5,0,2,57,0.673611111,"['deployment/neutron/neutron-dhcp-container-puppet.yaml', 'deployment/neutron/neutron-l3-container-puppet.yaml', 'deployment/neutron/neutron-ovs-agent-container-puppet.yaml', 'deployment/ovn/ovn-controller-container-puppet.yaml', 'deployment/ovn/ovn-metadata-container-puppet.yaml']",FALSE,[]
openstack%2Foslo.messaging~master~I28255a541cd3c3331f6a61f51d12d715fb7c76a8,693704,https://review.opendev.org/693704,oslo.messaging,47:04.0,25:40.0,ABANDONED,Do a retry on rpc after MessageDeliveryFailure,Do a retry on rpc after MessageDeliveryFailure,1,6,6,0,1,2,16,46,352.6433333,['oslo_messaging/rpc/server.py'],FALSE,[]
openstack%2Ftripleo-quickstart~master~I789b400f5304d71881667e60501d577c6c6a5870,693992,https://review.opendev.org/693992,tripleo-quickstart,13:14.0,31:13.0,ABANDONED,[DNM] Test pacemaker update in containers,[DNM] Test pacemaker update in containers,2,2,1,36,2,0,8,41,311.2997222,"['config/release/tripleo-ci/RedHat-8/master.yml', 'zuul.d/layout.yaml']",FALSE,[]
openstack%2Fdiskimage-builder~master~I14d63aa59df24e8f5500cd3356e677488d597781,693976,https://review.opendev.org/693976,diskimage-builder,21:54.0,53:45.0,ABANDONED,Dockerfile: install vhd-util,Dockerfile: install vhd-util,7,3,10,0,1,0,23,28,312.5308333,['Dockerfile'],FALSE,[]
openstack%2Fdiskimage-builder~master~If862ab64c7231e743ab55a676225739b3bdb882e,694175,https://review.opendev.org/694175,diskimage-builder,49:15.0,53:34.0,ABANDONED,Start a buildset registry with docker image creation,Start a buildset registry with docker image creation,7,5,2,0,1,0,25,52,295.0719444,['.zuul.d/jobs.yaml'],FALSE,[]
openstack%2Foctavia~master~If18d2cbc5faa89f8b54aaa075a96bd002cadda0a,695763,https://review.opendev.org/695763,octavia,52:38.0,50:55.0,ABANDONED,Disable nova console services in grenade job,Disable nova console services in grenade job,2,4,7,0,1,0,15,44,80.97138889,['playbooks/legacy/grenade-devstack-octavia/run.yaml'],FALSE,[]
openstack%2Foctavia~master~I57dd2151bce0c73d7835078e53961cc3c2f7a7c8,695941,https://review.opendev.org/695941,octavia,14:48.0,47:48.0,ABANDONED,[DNM] Testing current state of gates,[DNM] Testing current state of gates,1,1,0,0,1,0,3,36,13.55,['.DNM'],FALSE,[]
openstack%2Fsenlin~master~I998ea47cc7251ebba820adcf0d237a30ad094146,695139,https://review.opendev.org/695139,senlin,33:54.0,35:53.0,ABANDONED,[DNM] Testing singleton,[DNM] Testing singleton,4,1,53,46,1,0,6,23,142.0330556,['senlin/policies/base.py'],FALSE,[]
