change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Fvitrage~master~I0fe5e658325bf52770ca7e457fc3c5b933fbaae5,543215,https://review.opendev.org/543215,vitrage,00:50.0,24:02.0,MERGED,remove tempest.conf and other cleanup,remove tempest.conf and other cleanup.1,2,4,1,95,2.1,0,11,37,5.386666667,"['devstack/files/tempest/tempest.conf', 'devstack/gate_hook.sh']",FALSE,[]
openstack%2Fopenstack-ansible~master~I78d85f33926bc979f7d0df0adc8e8245bf1223ad,543123,https://review.opendev.org/543123,openstack-ansible,49:15.0,03:03.0,MERGED,Update all SHAs for 17.0.0,Update all SHAs for 17.0.0,2,4,102,53,10,9,11,26,22.23,"['ansible-role-requirements.yml', 'global-requirement-pins.txt', 'inventory/group_vars/all/all.yml', 'releasenotes/notes/PermitRootLogin-chages-7ce97df6d612223e.yaml', 'releasenotes/notes/deprecated-memcached-and-backend-caching-vars-88c48117b232b37e.yaml', 'releasenotes/notes/disable-list-extend-3a9547de9034f9ba.yaml', 'releasenotes/notes/drop-ceilometer-api-b6d87ceddf34af81.yaml', 'releasenotes/notes/nova-placement-database-a8735a1df0c4566f.yaml', 'releasenotes/notes/persistend-systemd-journals-c1874b52ad666744.yaml', 'releasenotes/notes/selinux-neutron-bare-metal-c89174daf6f8b273.yaml']",FALSE,['ansible-role-requirements.yml']
openstack%2Fopenstack-zuul-jobs~master~If78db5000d86d342c508a684ac8ee3dfd426ebb1,543019,https://review.opendev.org/543019,openstack-zuul-jobs,48:48.0,59:02.0,MERGED,Add fedora-27 nodeset,Add fedora-27 nodeset,2,3,6,0,1,0,8,21,42.17055556,['zuul.d/nodesets.yaml'],FALSE,[]
openstack%2Ftripleo-docs~master~Ie834ee076d9922ed67a8043dfab6ae04e07acd77,542989,https://review.opendev.org/542989,tripleo-docs,28:31.0,42:56.0,MERGED,Default to docker.io instead of trunk.registry.rdoproject.org,Default to docker.io instead of trunk.registry.rdoproject.org,1,3,5,5,1,0,7,61,43.24027778,['doc/source/install/containers_deployment/overcloud.rst'],FALSE,[]
openstack%2Fvitrage-dashboard~stable%2Fqueens~I866e7dc283ba40150371713d6eb0337db1fbfea5,543224,https://review.opendev.org/543224,vitrage-dashboard,36:57.0,13:44.0,MERGED,"Angular 1.58 deprecated code updated success => then, error => catch","Angular 1.58 deprecated code updated success => then, error => catch",1,3,8,8,1,0,8,68,0.613055556,['vitrage_dashboard/dashboard/static/dashboard/project/services/vitrage_topology.service.js'],FALSE,[]
openstack%2Fvitrage-dashboard~master~Ice5a6a31c6c436471d6f46fe12d5447ff6eac365,543223,https://review.opendev.org/543223,vitrage-dashboard,33:26.0,12:26.0,MERGED,"Angular 1.58 deprecated code updated success => then, error => catch","Angular 1.58 deprecated code updated success => then, error => catch",1,3,8,8,1,0,8,68,0.65,['vitrage_dashboard/dashboard/static/dashboard/project/services/vitrage_topology.service.js'],FALSE,[]
openstack%2Fopenstack-ansible-galera_server~master~If6f0adb93bcc6e2cae3885017c58159f3dca1772,543109,https://review.opendev.org/543109,openstack-ansible-galera_server,24:07.0,26:48.0,MERGED,tests: test-galera-upgrades.sh: Remove the exit trap,tests: test-galera-upgrades.sh: Remove the exit trap,1,3,0,7,1,0,8,52,23.04472222,['tests/test-galera-upgrades.sh'],FALSE,[]
openstack%2Ftripleo-quickstart~master~I52b9d68b2bb6efcc438855e5411eb5d56cc5d3d1,543057,https://review.opendev.org/543057,tripleo-quickstart,24:29.0,54:47.0,MERGED,add deployed_server variable,add deployed_server variable,1,5,6,0,6,0,9,28,36.505,"['config/general_config/featureset026.yml', 'config/general_config/featureset028.yml', 'config/general_config/featureset030.yml', 'config/general_config/featureset031.yml', 'config/general_config/featureset033.yml', 'config/general_config/featureset040.yml']",FALSE,[]
openstack%2Frpm-packaging~master~I4c0f298b04a85c667c20aa3eeef9bb9b2f08260b,539622,https://review.opendev.org/539622,rpm-packaging,56:10.0,07:26.0,MERGED,Update python-magnumclient to 2.8.0,Update python-magnumclient to 2.8.0,4,6,11,7,1,0,20,35,258.1877778,['openstack/python-magnumclient/python-magnumclient.spec.j2'],FALSE,[]
openstack%2Fkolla-ansible~master~I356313952d435de6d3b5444c0dd8a71f45aee452,542379,https://review.opendev.org/542379,kolla-ansible,14:57.0,56:26.0,MERGED,Fix MySQL access denied error during upgrade,Fix MySQL access denied error during upgrade,5,7,20,4,1,2,21,44,63.69138889,['ansible/roles/keystone/tasks/upgrade.yml'],FALSE,['ansible/roles/keystone/tasks/upgrade.yml']
