Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
5,11,22,1,30,1764.4516666666666,1,5,38
7,12,0,21,55,2196.2458333333334,4,0,42
2,13,2,2,14,1602.973888888889,2,0,44
2,9,87,41,26,1419.1972222222223,2,4,35
8,14,413,121,24,1991.5869444444445,9,1,46
9,9,44,6,47,1563.818888888889,5,11,23
1,5,75,68,8,1461.1241666666667,4,0,77
10,16,41,0,80,1290.743888888889,1,7,59
6,8,10,2,34,5608.4366666666665,1,2,39
4,14,53,53,22,1341.3255555555556,2,0,59
4,13,78,78,19,1340.7577777777778,2,0,59
4,13,63,63,22,1341.5802777777778,2,0,59
3,13,50,50,19,1341.0491666666667,2,1,59
2,13,61,61,13,1323.0655555555556,2,0,59
3,14,52,52,16,1323.5719444444444,2,0,59
1,12,18,0,7,1113.8255555555556,2,0,45
6,9,1,0,48,1461.4886111111111,1,2,44
1,4,72,72,9,1252.6463888888889,2,0,77
1,4,51,51,9,1252.6652777777779,2,0,77
1,3,1,1,8,4420.734166666667,1,0,28
3,6,22,0,16,4641.411944444444,2,0,62
3,5,30,2,15,4413.456666666667,1,0,186
3,12,1,1,22,936.8280555555556,1,0,48
3,14,0,1,23,1948.7405555555556,1,0,37
4,7,80,7,24,2047.6741666666667,3,2,29
1,5,2,2,10,2712.686111111111,2,0,24
2,16,1,1,15,3111.4405555555554,1,1,35
1,6,12,0,10,3114.846666666667,2,0,49
2,4,33,2,13,3552.255,2,3,45
1,4,4,4,9,3552.99,1,0,29
19,5,229,0,47,2713.1530555555555,1,3,34
1,5,15,0,9,3407.1358333333333,2,0,37
2,6,14,4,20,4582.675833333334,2,2,40
3,9,206,0,28,5117.065277777778,4,0,41
16,10,324,6,57,3104.619722222222,5,32,40
1,3,1,1,12,3591.1558333333332,1,0,48
10,7,261,28,57,1029.1922222222222,1,6,41
4,5,3,0,17,2855.6666666666665,1,1,44
2,17,2,0,15,1170.1327777777778,1,0,25
1,6,1,1,9,1879.5058333333334,1,0,40
4,6,52,7,20,3437.103611111111,1,0,29
5,3,310,61,16,3464.126388888889,3,1,34
1,3,35,0,8,3856.82,2,0,35
2,3,0,4,12,2256.743611111111,1,0,33
1,6,11,1,11,3361.719722222222,1,0,44
5,18,3,4,28,1665.963611111111,2,2,33
8,15,301,0,32,1788.4608333333333,7,20,27
3,11,13,0,18,1942.6697222222222,1,3,26
1,6,11,1,11,3360.83,1,0,47
7,7,5,1,29,2142.35,1,1,57
1,3,3,2,8,2360.4777777777776,2,0,46
