Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
6,9,56,1,32,24934.717777777776,5,16,31
1,3,44,44,7,3.578333333333333,2,0,30
1,4,18,18,8,191.33166666666668,3,0,27
1,4,18,18,8,76.32805555555555,3,0,27
2,5,18,18,12,119.89972222222222,6,0,27
5,6,40,14,38,202.6313888888889,2,2,47
1,3,1,1,8,7.595,1,0,34
2,5,7,3,14,14.755555555555556,3,0,38
1,4,2,0,46,2190.3144444444442,1,0,25
1,5,19,19,9,70.31027777777778,3,0,27
1,3,2,2,11,17.93,2,0,39
3,4,48,48,12,154.37916666666666,6,0,27
3,7,27,1,21,3159.9508333333333,3,0,53
3,3,3,3,11,5.874722222222222,1,0,64
21,5,139,47,72,364.5936111111111,5,0,55
2,8,1,0,55,84.65305555555555,1,0,53
5,4,3,0,33,181.87444444444444,1,0,48
1,4,7,0,10,9.829444444444444,2,0,49
2,5,4,3,18,8218.334166666667,1,1,46
1,3,22,22,7,22.19333333333333,6,0,27
2,6,7,24,30,22.5025,3,0,47
1,4,1,1,9,2.0477777777777777,1,0,46
1,2,1,0,6,5.661388888888889,1,0,69
4,8,61,0,29,126.91583333333334,3,3,51
2,7,2,0,19,2644.4847222222224,2,0,27
1,4,24,24,8,9.096388888888889,9,0,27
4,5,99,0,24,235.54416666666665,4,0,21
9,14,14,3,93,7893.230555555556,2,0,45
2,5,45,7,15,201.17472222222221,4,1,49
3,5,4,0,18,8.397222222222222,4,0,48
10,11,19,0,49,9601.258333333333,5,4,52
4,5,32,0,22,26.97222222222222,3,0,44
1,7,2,0,39,381.3352777777778,1,0,25
6,6,23,0,42,27.094722222222224,3,0,44
1,3,2,2,16,167.61055555555555,1,0,29
2,5,22,7,16,7.153888888888889,3,0,44
2,4,15,0,12,3.595,3,0,44
2,4,14,0,10,3.1416666666666666,3,0,44
1,3,23,0,9,4.510277777777778,3,0,44
1,3,22,0,8,2.2605555555555554,3,0,44
2,3,21,21,9,95.5886111111111,7,0,27
1,3,9,0,7,4.000277777777778,1,0,41
1,5,0,28,11,7.28,3,0,32
2,4,0,4,11,16.150277777777777,3,0,42
1,3,80,1,11,50.5175,4,0,46
2,6,27,3,20,21.781111111111112,4,0,45
6,6,34,0,23,21.545833333333334,2,0,36
1,3,2,2,15,130.10888888888888,1,0,49
6,7,76,1,29,120.31916666666666,2,3,48
1,3,2,0,25,96.38361111111111,1,0,40
1,4,2,0,56,89.55194444444444,1,0,25
1,5,2,0,28,89.16694444444444,1,1,25
1,4,2,0,26,67.42027777777778,1,0,25
1,4,2,0,26,65.21666666666667,1,0,25
1,5,2,0,31,65.35861111111112,1,0,25
1,3,2,0,17,51.4525,1,0,25
1,4,2,0,15,49.599444444444444,1,0,25
1,5,2,0,14,49.07888888888889,1,0,25
11,8,146,0,38,6579.843611111111,3,11,39
1,6,21,21,10,70.07555555555555,6,0,27
1,5,2,0,17,7.163333333333333,1,0,25
1,4,38,48,9,10.876666666666667,2,0,42
1,4,34,2,8,2.95,4,0,23
1,4,16,9,10,7.094722222222222,3,0,65
1,2,2,0,8,224.21694444444444,1,0,51
1,3,12,11,8,181.00333333333333,1,0,36
2,5,43,31,17,83.20694444444445,7,1,26
2,5,2,2,12,12.05,1,0,55
4,5,9,7,33,1370.4125,3,6,47
2,4,8,3,16,154.54,3,0,45
24,17,45,35,121,6517.607222222222,3,48,47
1,4,53,1,9,154.65555555555557,5,0,37
4,4,81,7,14,212.5588888888889,3,0,38
1,3,26,26,7,2.6863888888888887,6,0,26
4,8,11,1,21,55.07888888888889,2,0,36
3,5,15,3,14,120.52194444444444,1,0,47
82,12,97,0,222,8157.4025,1,22,47
1,3,2,1,12,206.70083333333332,1,0,47
1,4,37,22,8,24.690833333333334,7,0,26
6,19,3,130,83,6091.2555555555555,2,3,39
1,3,49,32,10,3.898888888888889,3,0,44
1,3,3,3,7,1.8016666666666667,1,0,27
1,3,25,25,7,77.6325,6,0,26
1,3,4,1,11,18.723055555555554,2,0,59
1,5,1,1,26,46.915277777777774,1,0,37
1,5,5,2,12,6.980277777777777,2,0,40
