Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
1,3,1,1,12,58.10666666666667,1,0,50
2,2,80,5,9,6717.64,5,0,47
4,5,4,0,18,6208.835277777778,3,0,36
1,3,1,1,11,5.930833333333333,1,0,47
1,2,1,1,7,5.620833333333334,1,0,48
2,2,2,0,15,116.27416666666667,1,0,24
1,2,1,2,7,4.059722222222222,1,0,45
3,4,0,20,29,790.8966666666666,1,0,50
1,3,137,14,12,57.96722222222222,3,0,41
1,3,27,16,8,57.96527777777778,2,0,47
1,2,4,1,6,1.0447222222222223,1,0,36
1,3,1,1,9,11.865277777777777,1,0,54
1,3,1,1,8,8.136388888888888,1,0,39
1,2,5,0,13,172.24583333333334,1,0,32
1,2,5,2,9,160.14388888888888,1,0,32
1,2,5,0,9,160.09972222222223,1,0,32
1,2,5,0,9,160.02527777777777,1,0,32
1,2,5,0,9,159.93333333333334,1,0,32
1,2,5,0,9,159.90722222222223,1,0,32
1,2,5,0,9,159.9061111111111,1,0,32
1,2,5,0,9,159.82694444444445,1,0,32
1,2,5,0,9,159.8711111111111,1,0,32
1,2,5,0,9,159.81027777777777,1,0,32
1,2,5,0,9,159.8311111111111,1,0,32
1,2,5,0,9,159.75694444444446,1,0,32
1,2,5,0,9,159.71777777777777,1,0,32
1,2,5,0,9,159.60444444444445,1,0,32
1,2,5,0,9,159.58916666666667,1,0,32
1,2,5,0,9,159.55055555555555,1,0,32
1,2,5,0,9,159.56861111111112,1,0,32
1,2,5,0,9,159.52305555555554,1,0,32
1,2,5,0,9,159.5338888888889,1,0,32
1,2,5,0,9,159.53416666666666,1,0,32
1,2,5,0,9,159.5075,1,0,32
1,2,5,0,9,159.48944444444444,1,0,32
1,2,5,0,9,159.45,1,0,32
1,2,5,0,9,159.48,1,0,32
1,2,5,0,9,159.47055555555556,1,0,32
1,2,5,0,9,159.40833333333333,1,0,32
1,2,5,0,10,159.44833333333332,1,0,32
1,2,5,0,9,159.42416666666668,1,0,32
1,2,5,0,9,159.41555555555556,1,0,32
1,2,5,0,9,159.22916666666666,1,0,32
1,2,5,0,8,85.67166666666667,1,0,32
1,2,10,0,10,158.85805555555555,1,0,32
1,3,5,0,9,85.52666666666667,1,0,32
1,6,1,1,7,6.852777777777778,1,0,34
2,3,12,0,10,15.839166666666667,2,0,26
3,3,2,0,13,346.14916666666664,1,0,34
1,3,50,33,8,195.6561111111111,1,0,51
1,3,3,3,9,15.257222222222222,1,0,19
1,5,20,15,9,24.45388888888889,1,0,47
1,3,2,0,9,175.33666666666667,1,0,59
1,5,56,15,8,22.182777777777776,1,0,43
2,3,5,1,9,3.2311111111111113,1,0,13
1,3,5,0,10,136.10666666666665,1,0,32
1,3,4,4,6,1.5625,4,0,17
1,3,2,2,12,75.14027777777778,2,0,32
1,2,1,3,7,1.4397222222222221,1,0,49
2,5,13,0,11,39.67194444444444,3,0,46
5,4,38,5,29,7672.1275,3,0,62
2,3,547,39,10,38.153888888888886,1,0,33
1,2,1,1,12,1665.955,1,0,20
1,4,60,133,19,76.51972222222223,5,0,54
4,4,8,1,25,192.39333333333335,2,0,40
2,3,0,16,10,69.22,1,0,26
1,3,3,0,17,20.86277777777778,1,0,39
1,2,5,0,6,2.7155555555555555,1,0,32
1,2,5,0,6,2.6555555555555554,1,0,32
1,2,5,0,6,2.6372222222222224,1,0,32
1,2,5,0,6,2.6352777777777776,1,0,32
1,2,5,0,6,2.598333333333333,1,0,32
1,5,105,5,9,449.58416666666665,3,0,54
1,5,8,3,9,449.475,1,0,41
1,4,60,2,9,448.9891666666667,6,0,31
2,2,10,6,10,8.188055555555556,1,0,49
1,3,664,9,8,3.819166666666667,1,0,33
1,3,18,6,9,18.54111111111111,4,2,62
4,4,96,0,42,6887.303611111111,2,0,23
3,6,2,26,11,16.214166666666667,1,0,27
1,2,16,6,8,583.4141666666667,4,0,43
1,3,1,1,10,5.2475,1,0,59
1,3,1,1,8,3.6969444444444446,1,0,61
1,3,1,1,8,3.629166666666667,1,0,61
1,3,1,1,8,3.5991666666666666,1,0,58
1,3,1,1,8,4.7747222222222225,1,0,46
2,26,36,1,113,4086.3105555555558,2,0,56
1,3,14,6,8,7.7988888888888885,2,2,47
1,7,15,90,13,103.3575,1,0,60
5,13,101,9,42,4274.283055555556,2,6,46
16,8,179,0,91,5139.4591666666665,2,31,129
25,8,409,0,98,5139.547222222222,8,47,105
1,9,8,6,23,121.83777777777777,1,0,29
1,5,36,7,9,73.25083333333333,4,0,37
1,3,21,0,17,467.6558333333333,2,0,44
1,3,6,2,8,4.136666666666667,2,0,66
1,4,3,1,11,236.07944444444445,1,0,40
1,3,1,1,9,1318.4302777777777,1,0,40
2,4,7,1,11,397.90972222222223,2,0,52
1,2,1,1,7,25.468611111111112,1,0,43
4,9,100,23,42,229.23388888888888,7,4,43
2,5,37,14,18,56.031666666666666,1,1,61
18,9,450,1,89,6730.201388888889,2,36,70
2,3,8,0,9,43.40277777777778,1,0,69
1,9,4,2,40,237.73611111111111,1,0,37
1,3,8,0,8,0.7116666666666667,2,0,59
1,3,2,2,7,6.340277777777778,1,0,34
2,3,5,0,21,425.21777777777777,1,0,67
5,3,257,258,21,4554.0344444444445,6,26,12
1,7,1,1,12,4697.752222222222,1,0,30
1,5,7,0,10,4697.608888888889,2,0,33
6,6,74,1,41,6782.810833333333,3,3,71
31,14,256,28,244,6044.069166666667,4,75,46
1,3,3,0,10,385.88138888888886,1,0,32
2,3,0,143,19,26.945,1,0,27
1,3,0,1,7,26.05027777777778,1,0,35
1,2,23,0,7,2.4608333333333334,2,0,36
1,4,37,15,7,2.5566666666666666,2,0,105
1,2,0,27,6,17.47861111111111,5,0,56
1,2,1,1,8,17.47222222222222,1,0,33
11,14,59,41,126,6019.677222222223,5,16,74
1,2,8,7,7,7.365277777777778,4,0,47
4,3,8,19,13,707.2272222222222,1,0,41
19,4,1586,284,50,6678.371666666667,19,11,29
2,2,3,3,13,143.82694444444445,1,1,33
1,4,5,5,9,2.6525,4,0,32
3,3,14,0,13,6002.515,1,2,54
3,4,2,2,18,30.430833333333332,2,0,42
1,4,2,2,10,145.94194444444443,2,0,69
10,8,8,2,40,3776.4147222222223,1,4,61
1,3,57,1,13,61.28722222222222,4,0,39
1,4,28,15,23,182.95666666666668,2,0,44
1,6,22,2,21,299.3808333333333,4,0,62
